transactionUuid,paymentUuid,status,updatedAt,paymentMethod,operationType,grossAmountInCents,takeRateunit,takeRate,takeRateAmountInCents,takeRateUnitGateway,takeRateGateway,takeRateAmountInCentsGateway,netAmountInCents,releaseInstallment,numberOfInstallments,releaseTime,scheduledFor
5e290a7c-75e9-be74-7b0b-ac1232f63bee,8c93fe6d-dab2-0b04-244a-4eef96dfffaf,CAPTURED,2020-09-24T14:01:59-03:00,CASH,CREDIT,225,PERCENT,184,4,CURRENCY,0,0,221,1,1,30,2020-10-24T14:01:59-03:00
edd7ebf4-497a-faf4-5d8b-0f91efb87988,0fe3e0a2-32f0-d7d4-6faa-c6eba7221112,CAPTURED,2020-09-24T14:01:59-03:00,CREDIT_CARD,CREDIT,5342,PERCENT,219,116,CURRENCY,0,0,5227,1,3,1,2020-09-25T14:01:59-03:00
5390e991-7393-6154-e6c8-2ddf79663b5b,0fe3e0a2-32f0-d7d4-6faa-c6eba7221112,CAPTURED,2020-09-24T14:01:59-03:00,CREDIT_CARD,CREDIT,5342,PERCENT,219,116,CURRENCY,0,0,5226,2,3,1,2020-09-25T14:01:59-03:00
71faf043-42bd-e9e4-2419-306ee52afbd3,0fe3e0a2-32f0-d7d4-6faa-c6eba7221112,CAPTURED,2020-09-24T14:01:59-03:00,CREDIT_CARD,CREDIT,5342,PERCENT,219,116,CURRENCY,0,0,5226,3,3,1,2020-09-25T14:01:59-03:00
294126b2-eb0b-9a54-5b89-9ae53cbe142d,b0a92693-759c-cee4-45c9-9a0ce1d46449,CAPTURED,2020-09-24T15:17:32-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6359,1,4,1,2020-09-25T15:17:32-03:00
ccb1d0cb-4435-4464-0d08-db8115994401,b0a92693-759c-cee4-45c9-9a0ce1d46449,CAPTURED,2020-09-24T15:17:32-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,2,4,1,2020-09-25T15:17:32-03:00
0d20e643-6bd0-ccb4-80a9-9edfedc03fd3,b0a92693-759c-cee4-45c9-9a0ce1d46449,CAPTURED,2020-09-24T15:17:32-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,3,4,1,2020-09-25T15:17:32-03:00
37116a4e-903c-a034-cbbb-d1fe5b65bde5,b0a92693-759c-cee4-45c9-9a0ce1d46449,CAPTURED,2020-09-24T15:17:32-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,4,4,1,2020-09-25T15:17:32-03:00
d9bfa4c4-754c-8a54-88e9-6e7d4001e476,b1584ba0-3e02-1764-460a-32fe8f4f33c6,CAPTURED,2020-09-24T20:04:47-03:00,CASH,CREDIT,11947,PERCENT,184,219,CURRENCY,0,0,11728,1,1,30,2020-10-24T20:04:47-03:00
7a3b3176-45b3-7cc4-8798-d746c29c23f8,85c432fe-461c-d2d4-d12a-2b751360c78a,CAPTURED,2020-09-24T20:04:47-03:00,CREDIT_CARD,CREDIT,4519,PERCENT,184,83,CURRENCY,0,0,4436,1,1,30,2020-10-24T20:04:47-03:00
d861c3f0-30bb-f094-bfda-cbf653b5f096,77660219-e760-8204-247b-bf332df2bc52,CAPTURED,2020-09-24T14:43:19-03:00,CREDIT_CARD,CREDIT,11099,PERCENT,219,243,CURRENCY,0,0,10859,1,4,1,2020-09-25T14:43:19-03:00
b823eb21-ee19-2e94-ab4a-cd2229b404bc,77660219-e760-8204-247b-bf332df2bc52,CAPTURED,2020-09-24T14:43:19-03:00,CREDIT_CARD,CREDIT,11099,PERCENT,219,243,CURRENCY,0,0,10856,2,4,1,2020-09-25T14:43:19-03:00
1c308a2b-fb5b-5e94-843b-ae82747eff67,77660219-e760-8204-247b-bf332df2bc52,CAPTURED,2020-09-24T14:43:19-03:00,CREDIT_CARD,CREDIT,11099,PERCENT,219,243,CURRENCY,0,0,10856,3,4,1,2020-09-25T14:43:19-03:00
7d548a7b-d7fa-e334-4928-1034b7187dbf,77660219-e760-8204-247b-bf332df2bc52,CAPTURED,2020-09-24T14:43:19-03:00,CREDIT_CARD,CREDIT,11099,PERCENT,219,243,CURRENCY,0,0,10856,4,4,1,2020-09-25T14:43:19-03:00
750b93e6-2920-eb14-741a-22672ac9a769,60457de4-e2cb-afb4-e23a-eb3819bad0c5,CAPTURED,2020-09-24T19:02:21-03:00,CASH,CREDIT,5798,PERCENT,184,106,CURRENCY,0,0,5692,1,1,30,2020-10-24T19:02:21-03:00
0cb8d4e6-a076-18b4-aa89-dd4d4f2ef457,af1e0fd4-5c29-bd64-8ef9-9c5553224ac3,CAPTURED,2020-09-24T19:02:21-03:00,CREDIT_CARD,CREDIT,3550,PERCENT,219,77,CURRENCY,0,0,3473,1,4,1,2020-09-25T19:02:21-03:00
01bd447a-7932-5614-54eb-cbb6a8576ad9,af1e0fd4-5c29-bd64-8ef9-9c5553224ac3,CAPTURED,2020-09-24T19:02:21-03:00,CREDIT_CARD,CREDIT,3550,PERCENT,219,77,CURRENCY,0,0,3473,2,4,1,2020-09-25T19:02:21-03:00
1d46cd27-009b-8144-809a-23de822d16f8,af1e0fd4-5c29-bd64-8ef9-9c5553224ac3,CAPTURED,2020-09-24T19:02:21-03:00,CREDIT_CARD,CREDIT,3550,PERCENT,219,77,CURRENCY,0,0,3473,3,4,1,2020-09-25T19:02:21-03:00
5f80216d-639a-30e4-2518-3dbc69cc7d0c,af1e0fd4-5c29-bd64-8ef9-9c5553224ac3,CAPTURED,2020-09-24T19:02:21-03:00,CREDIT_CARD,CREDIT,3550,PERCENT,219,77,CURRENCY,0,0,3473,4,4,1,2020-09-25T19:02:21-03:00
e856024e-7f7d-3e44-018b-d7eedff3345e,b68629e8-2f2a-3b54-35aa-b508ab940409,CAPTURED,2020-09-24T19:39:17-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6359,1,4,1,2020-09-25T19:39:17-03:00
41b0ce0c-2994-9c74-8e68-6ac01a5e0f13,b68629e8-2f2a-3b54-35aa-b508ab940409,CAPTURED,2020-09-24T19:39:17-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,2,4,1,2020-09-25T19:39:17-03:00
ad083c75-16c9-ab24-32bb-ee926936f793,b68629e8-2f2a-3b54-35aa-b508ab940409,CAPTURED,2020-09-24T19:39:17-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,3,4,1,2020-09-25T19:39:17-03:00
a7528100-d598-e634-38db-6695085d8798,b68629e8-2f2a-3b54-35aa-b508ab940409,CAPTURED,2020-09-24T19:39:17-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,4,4,1,2020-09-25T19:39:17-03:00
345ac422-7c32-a024-7abb-2f36e521816b,8035d881-9550-2cb4-ff6a-2784f5e0e9fc,CAPTURED,2020-09-24T17:59:11-03:00,CASH,CREDIT,500,PERCENT,184,9,CURRENCY,0,0,491,1,1,30,2020-10-24T17:59:11-03:00
fb9934cc-caf6-a384-2cd9-3ae4ff9e856a,3064966f-e74b-d074-b8fb-176d76ca9a60,CAPTURED,2020-09-24T17:59:11-03:00,CASH,CREDIT,1384,PERCENT,184,25,CURRENCY,0,0,1359,1,1,30,2020-10-24T17:59:11-03:00
e8c09a02-fcdf-6d24-d1b9-068ee37390f8,200d1def-2d3a-4da4-2e5b-8d321a7f1150,CAPTURED,2020-09-24T17:59:11-03:00,CREDIT_CARD,CREDIT,12678,PERCENT,219,277,CURRENCY,0,0,12402,1,4,1,2020-09-25T17:59:11-03:00
10e6bd55-3bcf-3564-b52a-6ef3bb93279a,200d1def-2d3a-4da4-2e5b-8d321a7f1150,CAPTURED,2020-09-24T17:59:11-03:00,CREDIT_CARD,CREDIT,12678,PERCENT,219,277,CURRENCY,0,0,12401,2,4,1,2020-09-25T17:59:11-03:00
237dbcf7-40bd-4e74-48bb-38efeb1924d0,200d1def-2d3a-4da4-2e5b-8d321a7f1150,CAPTURED,2020-09-24T17:59:11-03:00,CREDIT_CARD,CREDIT,12678,PERCENT,219,277,CURRENCY,0,0,12401,3,4,1,2020-09-25T17:59:11-03:00
e25a4dee-4bf0-8094-fac8-0dac6303857a,200d1def-2d3a-4da4-2e5b-8d321a7f1150,CAPTURED,2020-09-24T17:59:11-03:00,CREDIT_CARD,CREDIT,12678,PERCENT,219,277,CURRENCY,0,0,12401,4,4,1,2020-09-25T17:59:11-03:00
ecb7db09-a80c-e884-c818-77046c8fde95,198ec513-2e56-a234-83e8-e5bb78d50f91,CAPTURED,2020-09-24T16:42:50-03:00,CASH,CREDIT,1181,PERCENT,184,21,CURRENCY,0,0,1160,1,1,30,2020-10-24T16:42:50-03:00
32491578-4b5f-d0c4-f7ea-12fcf6b71916,423bbd02-6f0d-28b4-4f4b-ee0a1e648429,CAPTURED,2020-09-24T16:42:50-03:00,CREDIT_CARD,CREDIT,38817,PERCENT,184,714,CURRENCY,0,0,38103,1,1,30,2020-10-24T16:42:50-03:00
