UNIQUE_ID,TRANSACTION_DATE,CLIENT_ID,TRANSACTION_ID,BANK_TRANSACTION_ID,ORGANIZATION_ID,PARTNER_ID,STORE_ID,STORE_CODE,CLIENT_CODE,ACQUIRER_ID,ACQUIRER_NAME,MERCHANT_ID,MERCHANT_CODE,SALE_DATE,FORECAST_DATE,DOC_NUMBER,POS_NUMBER,DESCRIPTION,SUMMARY,UK_SUMMARY,UK_TRANSACTION,BANK_CODE,BANK_BRANCH,BANK_ACCOUNT,EVENT_TYPE,TRANSACTION_CODE,EVENT_DESCRIPTION,CLASSIFICATION,SIGN,LINK_PAYMENT_DETAIL,TRANSACTION_TYPE,SETTLEMENT_TYPE,ADVANCE_PAYMENT_TYPE,FILE_NAME,FILE_SEQUENCE,FILE_NUMBER,LINE_NUMBER,RECONCILE_ID,GL_DATE,EXPECTED_CLEARING_DATE,PAYMENT_DATE,CLEARING_DATE,RECEIPT_AMOUNT,BANK_DOC_NUMBER,BANK_DESCRIPTION,DEPOSIT_DATE,DEPOSIT_AMOUNT,BANK_SIGN,CREATED_AT,STORE_NAME
20200429000155200000215583,2020-04-29,15520,215583,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-05-25,201150320004633,,RECEBIMENTO DE VENDA,201150320004633,2011503200046330000000,2011503200046330000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,7c2fc51f49b2e1b714a2eebc622f8480,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660135,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,741.11,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000215584,2020-04-29,15520,215584,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-05-25,201150330004513,,RECEBIMENTO DE VENDA,201150330004513,2011503300045130000000,2011503300045130000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,6195fc5a8525e6d91c7bc8f32efa1cca,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660136,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,708.74,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000215587,2020-04-29,15520,215587,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-05-25,201150340003629,,RECEBIMENTO DE VENDA,201150340003629,2011503400036290000000,2011503400036290000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,ab6eff40bc35cd7e903baa1149bed1f6,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660139,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,438.35,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000216068,2020-04-29,15520,216068,,0,0,58,72995475000923,APISB.1.1,1,CIELO,14,1046233375,,2020-05-26,201176290030050,,RECEBIMENTO DE VENDA,201176290030050,2011762900300500000000,2011762900300500000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,95a1a3acde93ea4524b10a5f386819b4,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660550,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,0.01,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 9
20200630000155200000214862,2020-06-30,15520,214862,,0,0,40,36275052000118,APISB.1.1,1,CIELO,5,2772971362,2020-05-31,2020-06-30,201520380028150,41080460.0,RECEBIMENTO DE VENDA,201520380028150,2015203800281500000000,2015203800281500000000,237,3367,21539,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,10671cb31ad0ce9de18e276634f39cb5,RECEBIMENTO,VENCIMENTO,,20200630-CIELO04-2772971362-80067239,7993,1085964,25657093,-1,2020-06-30,2020-06-30,2020-06-30,2020-06-30,820.01,,,,,+,[DT_EXECUCAO],SIM EMPREENDIMENTOS 0001-18
20200429000155200000215594,2020-04-29,15520,215594,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-05-25,201140380004053,,RECEBIMENTO DE VENDA,201140380004053,2011403800040530000000,2011403800040530000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,9d3809c8c8f1b5db94737594349f697f,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660146,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,192.72,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000215603,2020-04-29,15520,215603,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-05-26,201170310004139,,RECEBIMENTO DE VENDA,201170310004139,2011703100041390000000,2011703100041390000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,8f1227ffa408f17802016aae2df2f42f,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660155,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,559.64,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000215605,2020-04-29,15520,215605,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-05-26,201170320002857,,RECEBIMENTO DE VENDA,201170320002857,2011703200028570000000,2011703200028570000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,b257661cfec0390ee6c11fbf4a55968b,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660157,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,204.94,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000215609,2020-04-29,15520,215609,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-05-27,201180380004133,,RECEBIMENTO DE VENDA,201180380004133,2011803800041330000000,2011803800041330000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,b1921af6d64378948f4cc369deb329b7,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660161,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,295.76,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200630000155200000214884,2020-06-30,15520,214884,,0,0,40,36275052000118,APISB.1.1,1,CIELO,5,2772971362,2020-06-23,2020-06-30,201750340046432,41080460.0,RECEBIMENTO DE VENDA,201750340046432,2017503400464320000000,2017503400464320000000,237,3367,21539,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,df7523916cba0e35101598db8b6ae099,RECEBIMENTO,VENCIMENTO,,20200630-CIELO04-2772971362-80067239,7993,1085964,25657100,-1,2020-06-30,2020-06-30,2020-06-30,2020-06-30,265.21,,,,,+,[DT_EXECUCAO],SIM EMPREENDIMENTOS 0001-18
20200429000155200000216056,2020-04-29,15520,216056,,0,0,58,72995475000923,APISB.1.1,1,CIELO,14,1046233375,,2020-05-25,201140390024728,,RECEBIMENTO DE VENDA,201140390024728,2011403900247280000000,2011403900247280000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,32aebed5d7efb98e4b246472b6cb42a1,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660538,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,137.21,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 9
20200429000155200000216058,2020-04-29,15520,216058,,0,0,58,72995475000923,APISB.1.1,1,CIELO,14,1046233375,,2020-05-25,201160390028299,,RECEBIMENTO DE VENDA,201160390028299,2011603900282990000000,2011603900282990000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,a65d71f3154ecd3d0fa4291144d2bcb0,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660540,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,69.63,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 9
20200429000155200000216062,2020-04-29,15520,216062,,0,0,58,72995475000923,APISB.1.1,1,CIELO,14,1046233375,,2020-05-25,201160390028300,,RECEBIMENTO DE VENDA,201160390028300,2011603900283000000000,2011603900283000000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,9976712c08e1b6f7c88ddf98baa7e79e,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660544,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,41.29,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 9
20200429000155200000215737,2020-04-29,15520,215737,,0,0,60,72995475001067,APISB.1.1,1,CIELO,15,1053242465,,2020-05-20,201110320041437,,RECEBIMENTO DE VENDA,201110320041437,2011103200414370000000,2011103200414370000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,35fe6efc8d8d4b8b0369d1870063f3e7,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660577,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,10.37,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 10
20200702000155200000215050,2020-07-02,15520,215050,,0,0,40,36275052000118,APISB.1.1,1,CIELO,5,2772971362,2020-06-02,2020-07-02,201540300012763,41080460.0,RECEBIMENTO DE VENDA,201540300012763,2015403000127630000000,2015403000127630000000,237,3367,21539,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,13235e493a8ba98f6610a0a785a62178,RECEBIMENTO,VENCIMENTO,,20200702-CIELO04-2772971362-83309551,7995,1085966,25657283,-1,2020-07-02,2020-07-02,2020-07-02,2020-07-02,26.44,,,,,+,[DT_EXECUCAO],SIM EMPREENDIMENTOS 0001-18
20200506000155200000219273,2020-05-06,15520,219273,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-03,201250320005127,,RECEBIMENTO DE VENDA,201250320005127,2012503200051270000000,2012503200051270000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,8e404da287619db521e52a40e93b5732,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663878,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,333.85,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000218575,2020-04-29,15520,218575,,0,0,42,72995475000338,APISB.1.1,1,CIELO,6,1010809978,,2020-05-25,201140360015853,,RECEBIMENTO DE VENDA,201140360015853,2011403600158530000000,2011403600158530000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,ce20a02155069afdbf1d5d882c9fbea5,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660219,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,153.06,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 3
